"customValue","sdsValue","type"
"","principal","OrganizationUserRoles"
"","chair","OrganizationUserRoles"
"","professor","OrganizationUserRoles"
"","researcher","OrganizationUserRoles"
"","adjunct","OrganizationUserRoles"
"","affiliate","OrganizationUserRoles"
"","occupationalTherapist","OrganizationUserRoles"
"","physicalTherapist","OrganizationUserRoles"
"","speechTherapist","OrganizationUserRoles"
"","visionTherapist","OrganizationUserRoles"
"","paraprofessional","OrganizationUserRoles"
"","specialServices","OrganizationUserRoles"
"","advisor","OrganizationUserRoles"
"","proctor","OrganizationUserRoles"
"","nurse","OrganizationUserRoles"
"","officeStaff","OrganizationUserRoles"
"","lecturer","OrganizationUserRoles"
"","itAdmin","OrganizationUserRoles"
"","administrator","OrganizationUserRoles"
"teacher","teacher","OrganizationUserRoles"
"","faculty","OrganizationUserRoles"
"","staff","OrganizationUserRoles"
"","teacherAssistant","OrganizationUserRoles"
"","assistant","OrganizationUserRoles"
"","instructor","OrganizationUserRoles"
"","substitute","OrganizationUserRoles"
"","coach","OrganizationUserRoles"
"","alumni","OrganizationUserRoles"
"student","student","OrganizationUserRoles"
"","other","OrganizationUserRoles"
